Valor exportado em 2020 (USD bilhäes);Participa‡Æo do Brasil no mercado de exporta‡Æo (%);Distƒncia m‚dia entre o pa¡s parceiro e o fornecedor (km);Concentra‡Æo de todos os pa¡ses fornecedores do pa¡s parceiro;imposto m‚dio (estimado) encarado pelo Brasil (%);PIB do pa¡s parceiro (USD bilhäes)
0.034167;0.4;4241;0.29;0;253.00
0.002112;0.1;14947;0.15;0;253.00
0.309181;40.3;2203;0.33;0;253.00
0.065306;1;2892;0.42;0;253.00
0.101402;4.8;6573;0.39;0;253.00
0.076984;1.4;4336;0.4;0;253.00
0.013122;0.8;5905;0.19;0;253.00
0.067519;1.1;1657;0.41;0;253.00
0.003582;0.1;8262;0.45;54.3;14723.00
20.903177;73.2;15611;0.48;1.5;14723.00
0.024615;0.5;8285;0.08;9.8;14723.00
1.290813;14.8;14591;0.51;50;14723.00
1.016739;30.6;7015;0.14;11;14723.00
0.000016;0;9270;0.53;13.3;14723.00
4.037496;60.4;15718;0.26;12.2;14723.00
1.231061;58.1;10795;0.12;18.5;14723.00
1.269326;22.9;13085;0.29;11.2;14723.00
0.053987;3.4;8360;0.09;13.8;14723.00
0.007156;0.1;6373;0.4;5;14723.00
0.056705;1;4144;0.69;0;271.00
0.000007;0;4102;1;0;271.00
0.0655;1.3;3417;0.48;0;271.00
0.035392;0.4;2875;0.3;13.2;271.00
0.023594;0.7;11527;0.22;2.8;271.00
0.000001;0;4231;0.53;67.6;271.00
0.001258;0.1;5663;0.13;0;271.00
0.00157;0;3974;0.83;0;271.00
0.000157;0;3876;0.22;0;1.22
0.00101;0;6708;0.36;0;1.22
0.00018;0;;;20;1.22
0.004652;0.1;7840;0.12;0;1.22
0.014995;0.2;4895;0.25;5.1;49.87
0.000002;0;10363;0.64;28.8;49.87
0.000244;0;7303;0.81;35;49.87
0.002004;0.1;6394;0.17;35;49.87
0.01329;0.2;8205;0.2;34.8;49.87
0.008725;0.1;3558;0.78;6.6;61.52
0.000566;0;937;0.39;12.7;61.52
0.003979;0;4946;0.57;45;61.52
0.000344;0;6625;0.41;4.8;61.52
0.000286;0;3170;0.29;12.3;61.52
0.000389;0;3717;0.93;4.5;61.52
0.020508;0.4;543;0.31;1.9;55.97
0.025138;0.3;441;0.33;49.5;55.97
0.000003;0;677;0.33;55.3;55.97
0.000001;0;868;0.19;20.6;55.97
0.000001;0;555;0.18;25.1;55.97
0.024479;0.4;5561;0.43;0;103.00
0.003297;0.1;3801;0.38;12;103.00
0.000889;0;6350;0.29;0;103.00
0.059452;1.1;4264;0.38;0;103.00
0.000073;0;5204;0.32;7.6;103.00
0.016751;0.3;5767;1;0;103.00
0.000008;0;;0.48;0;3.1
0.000075;0;;0.34;0;3.1
0.003165;0.4;;0.75;0;3.1
0.003375;0.1;;0.32;0;3.1
0.001798;0.1;;0.17;0;3.1
0.01395;0.3;;0.59;0;3.1
0.000133;0;;0.22;0;3.1
0.002956;0.1;3848;0.19;2.1;23.8
0.000003;0;2615;0.28;50.4;23.8
0.000029;0;2210;0.18;38.7;23.8
0.000066;0;4739;0.11;55.4;23.8
0.000113;0;2183;0.19;18.2;23.8
0.000113;0;2483;0.24;19.2;23.8
0.003055;0.2;4287;0.13;28;23.8
0.000018;0;10548;0.68;0;23.8
0.000357;0;1085;0.22;2.1;244.00
0;;2360;0.12;4.3;244.00
0.000018;0;1211;0.12;28;244.00
0.009408;0.2;2151;0.17;2.1;355.00
0.00087;0;1000;0.18;50.4;355.00
0.000003;0;3811;0.07;4.3;355.00
0.000019;0;1117;0.22;38.7;355.00
0.00008;0;2404;0.16;55.4;355.00
0.000192;0;598;0.44;18.2;355.00
0.000112;0;673;0.17;19.2;355.00
0.000044;0;1212;0.26;28;355.00
0.085029;1.4;5937;0.22;0;355.00
0.011735;0.1;4351;0.78;9.9;3.38
0.000079;0;6602;0.46;13;3.38
0.003152;0.1;9041;0.61;13;3.38
0.001615;0;4050;0.5;20;0.47
0.131167;2.2;4207;0.44;0;78.84
0.009648;0.2;8115;0.29;15.4;78.84
0.000446;0;2278;0.27;15.4;78.84
0.000572;0;4931;0.65;0;78.84
0.000107;0;3014;0.97;29.3;78.84
0.000476;0;3034;0.99;24.5;78.84
0.000449;0;4869;0.27;16.6;78.84
0.000251;0;12650;0.48;2.5;1.82
0.004544;0.1;8790;0.37;2.5;1.82
0.002121;0;9288;0.26;0;98.81
0.006469;0.1;1873;0.72;0;98.81
0.006866;0.2;8160;0.16;0;98.81
0.000332;0;3607;0.16;0;98.81
0.00072;0;3992;0.39;0;98.81
0.552137;9.4;7881;0.29;0;363.00
0.01063;0.2;7733;0.27;1.1;363.00
0.253706;2.9;8091;0.59;16.4;363.00
0.00001;0;4141;0.15;6.6;363.00
0.000754;0.1;9169;0.68;0;363.00
0.394221;5.9;7882;0.47;0;363.00
0.00045;0;9451;0.93;28.6;363.00
0.074631;1.3;9059;0.84;30;363.00
0.002177;0.1;2356;0.34;57.2;363.00
0.00792;0.1;2978;0.65;11.9;24.64
0.000005;0;523;0.28;14;24.64
0.00029;0;3215;0.69;5.1;24.64
0.001642;0;5390;0.38;30;10.02
0.000291;0;6987;0.35;20;10.02
0.0003;0;5451;0.14;20;10.02
0.004097;0.1;6204;0.1;5;10.02
0.004314;0;8160;0.49;2;6.5
0.000809;0;1528;0.18;2.1;31.03
0.000039;0;1530;0.09;28;31.03
0.000134;0;1003;0.31;0;31.03
0;;428;1;44.8;4.47
0.000309;0;5702;0.67;5;108.00
0.000152;0;8618;0.22;30;108.00
0.000019;0;2783;0.2;30;108.00
0.000013;0;1364;0.93;0;3.11
0.000028;0;6058;0.23;32;4.38
0.000175;0;3918;0.37;0;271.00
0.066103;1.3;7496;0.14;2.1;271.00
0.001551;0;4631;0.22;50.4;271.00
0.000272;0;2959;0.18;38.7;271.00
0.000056;0;2101;0.14;19.2;271.00
0.000001;0;3843;0.11;28;271.00
0.000002;0;2656;0.1;0;2603.00
0.027118;0.1;6780;0.26;0;2603.00
0;;1170;0.19;13.9;2603.00
0.104781;2.1;1753;0.27;2.1;2603.00
0.008187;0.1;2771;0.1;50.4;2603.00
0.000256;0;2736;0.08;4.3;2603.00
0.000002;0;833;0.19;38.7;2603.00
0.003969;0.1;1188;0.16;55.4;2603.00
0.000026;0;789;0.53;18.2;2603.00
0.001443;0;907;0.15;19.2;2603.00
0.005703;0.4;1962;0.14;28;2603.00
0.541111;9.2;6487;0.37;0;2603.00
0.00004;0;7457;0.5;12.1;3.44
0.000083;0;12265;0.28;5;3.44
0.000087;0;4315;0.8;30;15.59
0.006071;0.1;7133;0.32;20;15.59
0.003272;0.2;5759;0.17;20;15.59
0.009461;0.2;6839;0.11;5;15.59
0.078393;0.9;4675;0.96;17.7;1.9
0.002775;0;6858;0.39;35;1.9
0.000255;0;5247;0.21;0;15.89
0.077187;0.9;6498;0.3;2.8;15.89
0.00729;0.1;6216;0.27;12;15.89
0.017315;0.8;10820;0.4;5;15.89
0.0131;0.2;4243;0.14;12;15.89
0.000001;0;855;0.16;0;3806.00
0.011053;0;7316;0.36;0;3806.00
0.965862;19.3;6911;0.11;2.1;3806.00
0.003347;0;2397;0.16;50.4;3806.00
0.000617;0;3807;0.1;4.3;3806.00
0.020547;2.7;2757;0.14;38.7;3806.00
0.010601;0.2;2567;0.17;55.4;3806.00
0.000025;0;563;0.22;18.2;3806.00
0.007435;0.1;971;0.19;19.2;3806.00
0.005408;0.3;3392;0.14;28;3806.00
0.54413;9.2;5284;0.32;0;3806.00
0.000207;0;6412;0.37;19.5;72.35
0.000005;0;659;0.98;7.5;72.35
0.098781;1.1;5664;0.46;17.7;72.35
0.00012;0;5134;0.39;35;72.35
0.000013;0;5542;0.31;35;72.35
0.016966;0.3;6239;0.22;35;72.35
0.000015;0;5005;0.22;15;72.35
0.000002;0;454;0.97;0;2.44
0.000003;0;5320;0.54;0;2.44
0.000004;0;635;0.76;0;2.44
0.000003;0;1151;0.5;0;2.44
0.000001;0;532;0.88;0;2.44
0.035843;0.1;5662;0.35;0;189.00
0.06365;1.3;4104;0.19;2.1;189.00
0.001165;0;2811;0.12;50.4;189.00
0.000062;0;2825;0.16;4.3;189.00
0.000029;0;1869;0.2;38.7;189.00
0.000246;0;1936;0.13;55.4;189.00
0.000081;0;1949;0.28;18.2;189.00
0.001579;0;1364;0.13;19.2;189.00
0.001539;0.1;2319;0.1;28;189.00
0.004839;0.1;11433;0.9;0;189.00
0.000046;0;1590;0.23;25.6;1.09
0.000077;0;4049;0.8;30;1.09
0.000013;0;4167;0.44;30;1.09
0.00592;0.1;4907;0.4;20.2;1.09
0.019341;0.3;2921;0.71;11.9;77.6
0.000032;0;4452;0.28;14;77.6
0.002257;0;5994;0.91;20;77.6
0.000263;0;6278;0.18;5.1;77.6
0.000059;0;1228;0.33;12.7;77.6
0.000147;0;2820;0.98;5;77.6
0.073166;0.8;5177;0.74;17.7;15.68
0.000032;0;6311;0.2;35;15.68
0.002993;0.1;5430;0.11;35;15.68
0.001547;0;3509;0.46;17.7;1.43
0.00021;0;4312;0.25;35;1.43
0.000238;0;4831;0.95;19;5.47
0.000087;0;4640;0.83;30.3;5.47
0.000202;0;3549;0.46;37.2;5.47
0.000046;0;8975;0.33;5;5.47
0.000001;0;5154;0.8;40;5.47
0.000002;0;5329;0.69;40;5.47
0.000836;0;5212;0.76;48.9;5.47
0.000008;0;3053;0.32;22.4;5.47
0.000029;0;4398;0.61;0;5.47
0.004158;0;1893;0.32;8.4;13.42
0.001708;0.1;6325;0.14;15;13.42
0.006554;0.1;3878;0.53;25;13.42
0.000003;0;1546;0.5;11.7;13.42
0.000705;0;2849;0.98;10.7;23.83
0.00003;0;2638;0.17;14;23.83
0.001326;0;3211;0.68;5.2;23.83
0.002553;0.2;1704;0.28;14.6;23.83
0.000627;0;2864;0.99;2.5;23.83
0.000001;0;11360;0.77;0;347.00
0.001946;0;7095;0.08;0;347.00
0.000027;0;1965;0.26;0;347.00
0.000184;0;1807;0.5;0;347.00
0.001696;0.2;8725;0.26;0;347.00
0.809674;12.1;13983;0.32;0;347.00
0.238174;11.2;10075;0.18;0;347.00
0.236512;4.3;7739;0.24;0;347.00
0.001098;0.1;5933;0.13;0;347.00
0;;422;0.16;50.4;155.00
0.001813;0;2238;0.52;26.3;21.71
0.000853;0;3557;0.12;0;21.71
0.000023;0;2294;0.4;0;21.71
0.000002;0;2212;0.48;185.5;21.71
0.001373;0;4148;0.43;50;2623.00
0.003847;0.1;5291;0.19;100;2623.00
0.482565;5.5;13733;0.94;100;2623.00
0.009414;0.3;8007;0.16;7.7;2623.00
0.000001;0;;;30;2623.00
0.000004;0;;;30;2623.00
0.00007;0;6835;0.42;27.5;2623.00
0.000053;0;8639;0.29;76.7;2623.00
0.000862;0.1;5591;0.2;41.5;2623.00
0.034132;0.6;15587;0.6;3.7;1058.00
0.01254;11.2;12576;0.22;1.5;1058.00
0.011254;0.2;7909;0.28;7.2;1058.00
0.46613;5.3;6987;0.27;7.1;1058.00
0.307605;9.3;9775;0.16;6.5;1058.00
0.015667;0.2;6248;0.36;5;1058.00
0.005149;0.3;10560;0.15;7.9;1058.00
0.791639;13.4;15741;0.45;2.5;1058.00
0.744623;12.7;8699;0.52;5;192.00
0.245422;0.9;10721;0.51;7.5;192.00
0.000208;0;4184;0.34;10.8;192.00
0.052211;0.6;3976;0.77;36.8;192.00
0.000002;0;7569;0.98;15.3;192.00
0.024613;0.4;10929;0.85;12.6;192.00
0.000001;0;11673;1;15;192.00
0.000051;0;1919;0.91;34.5;192.00
0.06968;1.2;10537;0.34;10;192.00
0.007187;0.1;5188;0.24;0;167.00
0.000216;0;1864;0.29;0;167.00
